Desired ratio = 2

12:31-93:18-  2 (0 %)
12:32-64:12-  2 (0 %)
12:32-80:15-  2 (0 %)
12:32-96:18-  2 (0 %)
12:33-66:12-  2 (0 %)
12:33-77:14-  2 (0 %)
12:33-88:16-  2 (0 %)
12:33-99:18-  2 (0 %)
12:34-68:12-  2 (0 %)
12:34-85:15-  2 (0 %)
12:35-70:12-  2 (0 %)
12:36-72:12-  2 (0 %)
12:36-78:13-  2 (0 %)
12:36-84:14-  2 (0 %)
12:36-90:15-  2 (0 %)
12:36-96:16-  2 (0 %)
12:37-74:12-  2 (0 %)
12:38-76:12-  2 (0 %)
12:38-95:15-  2 (0 %)
12:39-78:12-  2 (0 %)
12:39-91:14-  2 (0 %)
12:40-80:12-  2 (0 %)
12:40-100:15-  2 (0 %)
12:41-82:12-  2 (-1.11022e-014 %)
12:42-84:12-  2 (0 %)
12:42-91:13-  2 (0 %)
12:42-98:14-  2 (0 %)
12:43-86:12-  2 (0 %)
12:44-88:12-  2 (-1.11022e-014 %)
12:45-90:12-  2 (0 %)
12:46-92:12-  2 (0 %)
12:47-94:12-  2 (-1.11022e-014 %)
12:48-96:12-  2 (0 %)
12:49-98:12-  2 (0 %)
12:50-100:12-  2 (0 %)

RUN ABORTED BY USER
